,BRAND,PRODUCT_NAME,PRICE,RETURN/EXCHANGE,EXPECTED_DELIVERY,AVAILABILITY,PRODUCT_LINK
142,Intern,"INTERN 41 inches Acoustic Guitar with truss rod. Includes carry bag, strings pack, strap & plectrums. Premium Wooden durable built, tonal stability & for all age-groups (Sparkling White).","₹3,527.16",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-plectrums-stability-age-groups-Sparkling/dp/B09YH8C4D5/ref=sr_1_125?keywords=guitar&qid=1664042210&sr=8-125
143,Fender,"Fender Squier 0310001506 Bullet Stratocaster 6-String Electric Guitar, Right-Handed, Black, Rosewood Fretboard","₹12,500.00",7 Days Replacement,"Thursday, 29 September",,https://www.amazon.in/Fender-0310001506-Stratocaster-Right-Handed-Fretboard/dp/B001J5RYXQ/ref=sr_1_126?keywords=guitar&qid=1664042210&smid=A2ASVKNZ46FPCY&sr=8-126
144,Henrix,"Henrix 38 CLH Left Handed Cutway Acoustic Guitar with Dual Action Truss Rod, Gigbag, Picks, String Set, Strap & Polishing Cloth - Natural","₹2,707.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Henrix-Handed-Cutway-Acoustic-Polishing/dp/B08R3DKYGM/ref=sr_1_127?keywords=guitar&qid=1664042210&sr=8-127
145,Pluto,Pluto HW39C-201P 39-inch Cutaway Semi-Acoustic Guitar (Natural),"₹7,040.00",7 Days Replacement,"Wednesday, 28 September",Only 1 left in stock (more on the way).,https://www.amazon.in/Pluto-HW39C-201P-39-inch-Cutaway-Semi-Acoustic/dp/B07F2LXJ4K/ref=sr_1_128?keywords=guitar&qid=1664042210&sr=8-128
146,Intern,"INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof, Bend resistance, Durable Action, Natural tone & bright resonance. Red Carbon Fibre/Fiber Guitar with Bag, Strap, Strings set & Plectrums.","₹2,399.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-Humidity-resistance-resonance-Plectrums/dp/B09RR1SG7X/ref=sr_1_129?keywords=guitar&qid=1664042210&sr=8-129
147,Intern,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, Best tonal stability with professional sound amplificaiton. (ASH).","₹4,239.77",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Acoustic-Pick-up-stability-professional-amplificaiton/dp/B09YH8X5CL/ref=sr_1_130?keywords=guitar&qid=1664042210&sr=8-130
148,Kadence,"Kadence Frontier Series,Black Acoustic Guitar With Die Cast Keys Combo (Bag,strap,strings and 3 picks)","₹4,999.00",7 Days Replacement,"Friday, 30 September",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_131?keywords=guitar&qid=1664042210&sr=8-131
149,Tanglewood,"Tanglewood Crossroads TWCR SFCE Semi Acoustic Guitar, 6 Strings, Super Folk Cutaway, Whiskey Barrel Burst Satin Finish","₹14,395.00",7 Days Replacement,"Tuesday, 4 October",In stock.,https://www.amazon.in/Tanglewood-Crossroads-TWCR-SFCE-Acoustic/dp/B01M7R9JOT/ref=sr_1_132?keywords=guitar&qid=1664042210&sr=8-132
150,Fender,"Fender FA135CE Electric Acoustic Guitar Concert Body V2 (Inbuilt Fishman Pickup) With Sponge Bag, Belt, String Set, & Plectrums Combo Pack","₹20,999.00",7 Days Replacement,"Friday, 30 September",Only 1 left in stock.,https://www.amazon.in/Fender-FA135CE-Electric-Acoustic-Plectrums/dp/B09NGWQQL5/ref=sr_1_133?keywords=guitar&qid=1664042210&sr=8-133
151,Fender,Fender Model FA-15 Nat 3/4 Size Steel Stringed Acoustic Guitar with Gig Bag-971170121,"₹15,174.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Fender-String-Beginner-Acoustic-Guitar/dp/B07BCN6FFH/ref=sr_1_134?keywords=guitar&qid=1664042210&sr=8-134
